id,libelle,description,dateDebut,dateFin,dureValidite,cost,budgetUsed,nbrPage,countContact,deactivatedByGroup,hash,meOnly,lastUpdateStatusAt,createdAt,updatedAt,status_id,campaign_type_permission_id,dureValidité,groupe_id,campaign_type,numero_semaine,annee,mois,event
11,Notif groupe 1 2023-05-21,normal - groupe 1,2023-05-21 08:00:00+00:00,2023-05-23 02:00:00+00:00,48.0,834,767,3,278,False,6257b29dcbce0a37,False,2023-05-21T10:00:00+01:00,2023-05-20T08:00:00+01:00,2023-05-21T10:00:00+01:00,4,2,,1,NOTIF,20,2023,5,normal
12,Promo groupe 1 2023-06-04,normal - groupe 1,2023-06-04 08:00:00+00:00,2023-06-06 02:00:00+00:00,48.0,270,243,2,90,False,b55ed66dcfe84fe4,False,2023-06-04T10:00:00+01:00,2023-06-03T08:00:00+01:00,2023-06-04T10:00:00+01:00,4,1,,1,PROMO,22,2023,6,normal
13,Notif groupe 1 2023-06-18,saison - groupe 1,2023-06-18 08:00:00+00:00,2023-06-20 02:00:00+00:00,48.0,483,387,2,161,False,5b3e29fe57632a1f,False,2023-06-18T10:00:00+01:00,2023-06-17T08:00:00+01:00,2023-06-18T10:00:00+01:00,4,2,,1,NOTIF,24,2023,6,normal
14,Promo groupe 1 2023-07-02,normal - groupe 1,2023-07-02 08:00:00+00:00,2023-07-04 02:00:00+00:00,48.0,570,518,3,285,False,7a066e4968b8bd21,False,2023-07-02T10:00:00+01:00,2023-07-01T08:00:00+01:00,2023-07-02T10:00:00+01:00,4,1,,1,PROMO,26,2023,7,normal
15,Notif groupe 1 2023-07-16,normal - groupe 1,2023-07-16 08:00:00+00:00,2023-07-18 02:00:00+00:00,48.0,558,449,4,186,False,900ebff41d710a24,False,2023-07-16T10:00:00+01:00,2023-07-15T08:00:00+01:00,2023-07-16T10:00:00+01:00,4,2,,1,NOTIF,28,2023,7,normal
16,Promo groupe 1 2023-07-30,normal - groupe 1,2023-07-30 08:00:00+00:00,2023-08-01 02:00:00+00:00,48.0,1260,1024,4,315,False,850d39b153b1e635,False,2023-07-30T10:00:00+01:00,2023-07-29T08:00:00+01:00,2023-07-30T10:00:00+01:00,4,1,,1,PROMO,30,2023,7,normal
17,Notif groupe 1 2023-08-13,normal - groupe 1,2023-08-13 08:00:00+00:00,2023-08-15 02:00:00+00:00,48.0,951,746,4,317,False,4b5ac837b2da978c,False,2023-08-13T10:00:00+01:00,2023-08-12T08:00:00+01:00,2023-08-13T10:00:00+01:00,4,2,,1,NOTIF,32,2023,8,normal
18,Promo groupe 1 2023-08-27,normal - groupe 1,2023-08-27 08:00:00+00:00,2023-08-29 02:00:00+00:00,48.0,592,492,2,148,False,8446b44b5998e8e0,False,2023-08-27T10:00:00+01:00,2023-08-26T08:00:00+01:00,2023-08-27T10:00:00+01:00,4,1,,1,PROMO,34,2023,8,normal
19,Notif groupe 1 2023-09-10,saison - groupe 1,2023-09-10 08:00:00+00:00,2023-09-12 02:00:00+00:00,48.0,1068,798,2,267,False,0cc8fe7e7114cefa,False,2023-09-10T10:00:00+01:00,2023-09-09T08:00:00+01:00,2023-09-10T10:00:00+01:00,4,2,,1,NOTIF,36,2023,9,normal
20,Promo groupe 1 2023-09-24,normal - groupe 1,2023-09-24 08:00:00+00:00,2023-09-26 02:00:00+00:00,48.0,1188,1099,4,396,False,375eccf4839dcef0,False,2023-09-24T10:00:00+01:00,2023-09-23T08:00:00+01:00,2023-09-24T10:00:00+01:00,4,1,,1,PROMO,38,2023,9,normal
21,Notif groupe 1 2023-10-08,normal - groupe 1,2023-10-08 08:00:00+00:00,2023-10-10 02:00:00+00:00,48.0,1084,841,4,271,False,ca389ebabf7d7d1a,False,2023-10-08T10:00:00+01:00,2023-10-07T08:00:00+01:00,2023-10-08T10:00:00+01:00,4,2,,1,NOTIF,40,2023,10,normal
22,Promo groupe 1 2023-10-22,normal - groupe 1,2023-10-22 08:00:00+00:00,2023-10-24 02:00:00+00:00,48.0,456,331,4,152,False,249a415c6bd234e9,False,2023-10-22T10:00:00+01:00,2023-10-21T08:00:00+01:00,2023-10-22T10:00:00+01:00,4,1,,1,PROMO,42,2023,10,normal
23,Notif groupe 1 2023-11-05,normal - groupe 1,2023-11-05 08:00:00+00:00,2023-11-07 02:00:00+00:00,48.0,932,748,2,233,False,805e1e2047344cf6,False,2023-11-05T10:00:00+01:00,2023-11-04T08:00:00+01:00,2023-11-05T10:00:00+01:00,4,2,,1,NOTIF,44,2023,11,normal
24,Promo groupe 1 2023-11-19,normal - groupe 1,2023-11-19 08:00:00+00:00,2023-11-21 02:00:00+00:00,48.0,573,480,2,191,False,dfa8e2dd59807c42,False,2023-11-19T10:00:00+01:00,2023-11-18T08:00:00+01:00,2023-11-19T10:00:00+01:00,4,1,,1,PROMO,46,2023,11,normal
25,Notif groupe 1 2023-12-03,normal - groupe 1,2023-12-03 08:00:00+00:00,2023-12-05 02:00:00+00:00,48.0,1104,891,4,276,False,1e04ab4d2b61abdf,False,2023-12-03T10:00:00+01:00,2023-12-02T08:00:00+01:00,2023-12-03T10:00:00+01:00,4,2,,1,NOTIF,48,2023,12,normal
26,Promo groupe 1 2023-12-17,normal - groupe 1,2023-12-17 08:00:00+00:00,2023-12-19 02:00:00+00:00,48.0,368,276,2,92,False,7c234b4ed15bd33f,False,2023-12-17T10:00:00+01:00,2023-12-16T08:00:00+01:00,2023-12-17T10:00:00+01:00,4,1,,1,PROMO,50,2023,12,normal
27,Notif groupe 1 2023-12-31,saison - groupe 1,2023-12-31 08:00:00+00:00,2024-01-02 02:00:00+00:00,48.0,1664,1447,2,416,False,6b32848ea65b64f5,False,2023-12-31T10:00:00+01:00,2023-12-30T08:00:00+01:00,2023-12-31T10:00:00+01:00,4,2,,1,NOTIF,52,2023,12,normal
28,Promo groupe 1 2024-01-14,normal - groupe 1,2024-01-14 08:00:00+00:00,2024-01-16 02:00:00+00:00,48.0,1140,1020,2,285,False,ee73eead2e5b4ba8,False,2024-01-14T10:00:00+01:00,2024-01-13T08:00:00+01:00,2024-01-14T10:00:00+01:00,4,1,,1,PROMO,2,2024,1,normal
29,Notif groupe 1 2024-01-28,normal - groupe 1,2024-01-28 08:00:00+00:00,2024-01-30 02:00:00+00:00,48.0,471,366,2,157,False,0a0b12ae9f87a2b3,False,2024-01-28T10:00:00+01:00,2024-01-27T08:00:00+01:00,2024-01-28T10:00:00+01:00,4,2,,1,NOTIF,4,2024,1,normal
30,Promo groupe 1 2024-02-11,normal - groupe 1,2024-02-11 08:00:00+00:00,2024-02-13 02:00:00+00:00,48.0,438,341,1,146,False,1fd5fa65a244c409,False,2024-02-11T10:00:00+01:00,2024-02-10T08:00:00+01:00,2024-02-11T10:00:00+01:00,4,1,,1,PROMO,6,2024,2,normal
31,Notif groupe 1 2024-02-25,normal - groupe 1,2024-02-25 08:00:00+00:00,2024-02-27 02:00:00+00:00,48.0,258,186,1,129,False,bc59c084e5f346e8,False,2024-02-25T10:00:00+01:00,2024-02-24T08:00:00+01:00,2024-02-25T10:00:00+01:00,4,2,,1,NOTIF,8,2024,2,normal
32,Promo groupe 1 2024-03-10,saison - groupe 1,2024-03-10 08:00:00+00:00,2024-03-12 02:00:00+00:00,48.0,576,525,3,192,False,efbcbd97a69b1c0e,False,2024-03-10T10:00:00+01:00,2024-03-09T08:00:00+01:00,2024-03-10T10:00:00+01:00,4,1,,1,PROMO,10,2024,3,normal
33,Notif groupe 1 2024-03-24,saison - groupe 1,2024-03-24 08:00:00+00:00,2024-03-26 02:00:00+00:00,48.0,942,834,2,471,False,30cc1271272d605e,False,2024-03-24T10:00:00+01:00,2024-03-23T08:00:00+01:00,2024-03-24T10:00:00+01:00,4,2,,1,NOTIF,12,2024,3,normal
34,Promo groupe 1 2024-04-07,saison - groupe 1,2024-04-07 08:00:00+00:00,2024-04-09 02:00:00+00:00,48.0,1042,823,3,521,False,00613f1fa33cb875,False,2024-04-07T10:00:00+01:00,2024-04-06T08:00:00+01:00,2024-04-07T10:00:00+01:00,4,1,,1,PROMO,14,2024,4,normal
35,Notif groupe 1 2024-04-21,saison - groupe 1,2024-04-21 08:00:00+00:00,2024-04-23 02:00:00+00:00,48.0,2493,2041,2,831,False,229f169329a0faf2,False,2024-04-21T10:00:00+01:00,2024-04-20T08:00:00+01:00,2024-04-21T10:00:00+01:00,4,2,,1,NOTIF,16,2024,4,normal
36,Promo groupe 1 2024-05-05,normal - groupe 1,2024-05-05 08:00:00+00:00,2024-05-07 02:00:00+00:00,48.0,684,496,2,228,False,5b95b0590f2763e1,False,2024-05-05T10:00:00+01:00,2024-05-04T08:00:00+01:00,2024-05-05T10:00:00+01:00,4,1,,1,PROMO,18,2024,5,normal
37,Notif groupe 1 2024-05-19,normal - groupe 1,2024-05-19 08:00:00+00:00,2024-05-21 02:00:00+00:00,48.0,314,252,4,157,False,5b5c84ef322310a3,False,2024-05-19T10:00:00+01:00,2024-05-18T08:00:00+01:00,2024-05-19T10:00:00+01:00,4,2,,1,NOTIF,20,2024,5,normal
38,Promo groupe 1 2024-06-02,normal - groupe 1,2024-06-02 08:00:00+00:00,2024-06-04 02:00:00+00:00,48.0,644,539,4,161,False,50e3297e07905b58,False,2024-06-02T10:00:00+01:00,2024-06-01T08:00:00+01:00,2024-06-02T10:00:00+01:00,4,1,,1,PROMO,22,2024,6,normal
39,Notif groupe 1 2024-06-16,saison - groupe 1,2024-06-16 08:00:00+00:00,2024-06-18 02:00:00+00:00,48.0,1424,1298,2,356,False,f68595d1f74d1ab9,False,2024-06-16T10:00:00+01:00,2024-06-15T08:00:00+01:00,2024-06-16T10:00:00+01:00,4,2,,1,NOTIF,24,2024,6,normal
40,Promo groupe 1 2024-06-30,normal - groupe 1,2024-06-30 08:00:00+00:00,2024-07-02 02:00:00+00:00,48.0,552,516,4,138,False,0f703b42cc1bf02a,False,2024-06-30T10:00:00+01:00,2024-06-29T08:00:00+01:00,2024-06-30T10:00:00+01:00,4,1,,1,PROMO,26,2024,6,normal
41,Notif groupe 1 2024-07-14,normal - groupe 1,2024-07-14 08:00:00+00:00,2024-07-16 02:00:00+00:00,48.0,258,189,4,129,False,d007546a272b926b,False,2024-07-14T10:00:00+01:00,2024-07-13T08:00:00+01:00,2024-07-14T10:00:00+01:00,4,2,,1,NOTIF,28,2024,7,normal
42,Promo groupe 1 2024-07-28,normal - groupe 1,2024-07-28 08:00:00+00:00,2024-07-30 02:00:00+00:00,48.0,966,791,1,322,False,a46d2773db342470,False,2024-07-28T10:00:00+01:00,2024-07-27T08:00:00+01:00,2024-07-28T10:00:00+01:00,4,1,,1,PROMO,30,2024,7,normal
43,Notif groupe 1 2024-08-11,normal - groupe 1,2024-08-11 08:00:00+00:00,2024-08-13 02:00:00+00:00,48.0,1520,1439,3,380,False,e494836e5809157b,False,2024-08-11T10:00:00+01:00,2024-08-10T08:00:00+01:00,2024-08-11T10:00:00+01:00,4,2,,1,NOTIF,32,2024,8,normal
44,Promo groupe 1 2024-08-25,normal - groupe 1,2024-08-25 08:00:00+00:00,2024-08-27 02:00:00+00:00,48.0,1220,1028,4,305,False,7e74fbef62e9c7ea,False,2024-08-25T10:00:00+01:00,2024-08-24T08:00:00+01:00,2024-08-25T10:00:00+01:00,4,1,,1,PROMO,34,2024,8,normal
45,Notif groupe 1 2024-09-08,saison - groupe 1,2024-09-08 08:00:00+00:00,2024-09-10 02:00:00+00:00,48.0,375,351,3,125,False,abf06c4108cc15e2,False,2024-09-08T10:00:00+01:00,2024-09-07T08:00:00+01:00,2024-09-08T10:00:00+01:00,4,2,,1,NOTIF,36,2024,9,normal
46,Promo groupe 1 2024-09-22,normal - groupe 1,2024-09-22 08:00:00+00:00,2024-09-24 02:00:00+00:00,48.0,506,466,1,253,False,1498993310e347fd,False,2024-09-22T10:00:00+01:00,2024-09-21T08:00:00+01:00,2024-09-22T10:00:00+01:00,4,1,,1,PROMO,38,2024,9,normal
47,Notif groupe 1 2024-10-06,normal - groupe 1,2024-10-06 08:00:00+00:00,2024-10-08 02:00:00+00:00,48.0,340,291,4,170,False,0bb420f6535a34aa,False,2024-10-06T10:00:00+01:00,2024-10-05T08:00:00+01:00,2024-10-06T10:00:00+01:00,4,2,,1,NOTIF,40,2024,10,normal
48,Promo groupe 1 2024-10-20,normal - groupe 1,2024-10-20 08:00:00+00:00,2024-10-22 02:00:00+00:00,48.0,312,295,2,156,False,0ff2173fb806586a,False,2024-10-20T10:00:00+01:00,2024-10-19T08:00:00+01:00,2024-10-20T10:00:00+01:00,4,1,,1,PROMO,42,2024,10,normal
49,Notif groupe 1 2024-11-03,normal - groupe 1,2024-11-03 08:00:00+00:00,2024-11-05 02:00:00+00:00,48.0,732,642,1,244,False,e16f0ecc24660ab5,False,2024-11-03T10:00:00+01:00,2024-11-02T08:00:00+01:00,2024-11-03T10:00:00+01:00,4,2,,1,NOTIF,44,2024,11,normal
50,Promo groupe 1 2024-11-17,normal - groupe 1,2024-11-17 08:00:00+00:00,2024-11-19 02:00:00+00:00,48.0,1044,987,4,261,False,13d197a3975418cc,False,2024-11-17T10:00:00+01:00,2024-11-16T08:00:00+01:00,2024-11-17T10:00:00+01:00,4,1,,1,PROMO,46,2024,11,normal
51,Notif groupe 1 2024-12-01,normal - groupe 1,2024-12-01 08:00:00+00:00,2024-12-03 02:00:00+00:00,48.0,352,324,4,88,False,9ab2f471cf2df8d6,False,2024-12-01T10:00:00+01:00,2024-11-30T08:00:00+01:00,2024-12-01T10:00:00+01:00,4,2,,1,NOTIF,48,2024,12,normal
52,Promo groupe 1 2024-12-15,normal - groupe 1,2024-12-15 08:00:00+00:00,2024-12-17 02:00:00+00:00,48.0,498,454,2,166,False,ef76fb3de892923e,False,2024-12-15T10:00:00+01:00,2024-12-14T08:00:00+01:00,2024-12-15T10:00:00+01:00,4,1,,1,PROMO,50,2024,12,normal
53,Notif groupe 1 2024-12-29,saison - groupe 1,2024-12-29 08:00:00+00:00,2024-12-31 02:00:00+00:00,48.0,1947,1840,1,649,False,a675e56465d28330,False,2024-12-29T10:00:00+01:00,2024-12-28T08:00:00+01:00,2024-12-29T10:00:00+01:00,4,2,,1,NOTIF,52,2024,12,normal
54,Promo groupe 1 2025-01-12,normal - groupe 1,2025-01-12 08:00:00+00:00,2025-01-14 02:00:00+00:00,48.0,990,917,1,330,False,5ff346bfb4d016b7,False,2025-01-12T10:00:00+01:00,2025-01-11T08:00:00+01:00,2025-01-12T10:00:00+01:00,4,1,,1,PROMO,2,2025,1,normal
55,Notif groupe 1 2025-01-26,normal - groupe 1,2025-01-26 08:00:00+00:00,2025-01-28 02:00:00+00:00,48.0,808,627,4,202,False,74dea61b261b6683,False,2025-01-26T10:00:00+01:00,2025-01-25T08:00:00+01:00,2025-01-26T10:00:00+01:00,4,2,,1,NOTIF,4,2025,1,normal
56,Promo groupe 1 2025-02-09,normal - groupe 1,2025-02-09 08:00:00+00:00,2025-02-11 02:00:00+00:00,48.0,903,641,4,301,False,714b28537b7dc148,False,2025-02-09T10:00:00+01:00,2025-02-08T08:00:00+01:00,2025-02-09T10:00:00+01:00,4,1,,1,PROMO,6,2025,2,normal
57,Notif groupe 1 2025-02-23,normal - groupe 1,2025-02-23 08:00:00+00:00,2025-02-25 02:00:00+00:00,48.0,363,304,2,121,False,4c33ab8c4f8e53d2,False,2025-02-23T10:00:00+01:00,2025-02-22T08:00:00+01:00,2025-02-23T10:00:00+01:00,4,2,,1,NOTIF,8,2025,2,normal
58,Promo groupe 1 2025-03-09,normal - groupe 1,2025-03-09 08:00:00+00:00,2025-03-11 02:00:00+00:00,48.0,798,705,1,399,False,9ce00f781c17c318,False,2025-03-09T10:00:00+01:00,2025-03-08T08:00:00+01:00,2025-03-09T10:00:00+01:00,4,1,,1,PROMO,10,2025,3,normal
59,Notif groupe 1 2025-03-23,saison - groupe 1,2025-03-23 08:00:00+00:00,2025-03-25 02:00:00+00:00,48.0,1263,947,4,421,False,6d924c5f2840e722,False,2025-03-23T10:00:00+01:00,2025-03-22T08:00:00+01:00,2025-03-23T10:00:00+01:00,4,2,,1,NOTIF,12,2025,3,normal
60,Promo groupe 1 2025-04-06,saison - groupe 1,2025-04-06 08:00:00+00:00,2025-04-08 02:00:00+00:00,48.0,1806,1280,3,602,False,dd662bacff84a113,False,2025-04-06T10:00:00+01:00,2025-04-05T08:00:00+01:00,2025-04-06T10:00:00+01:00,4,1,,1,PROMO,14,2025,4,normal
61,Notif groupe 1 2025-04-20,saison - groupe 1,2025-04-20 08:00:00+00:00,2025-04-22 02:00:00+00:00,48.0,1794,1420,4,598,False,ab295f9947dbd230,False,2025-04-20T10:00:00+01:00,2025-04-19T08:00:00+01:00,2025-04-20T10:00:00+01:00,4,2,,1,NOTIF,16,2025,4,normal
62,Promo groupe 1 2025-05-04,normal - groupe 1,2025-05-04 08:00:00+00:00,2025-05-06 02:00:00+00:00,48.0,1152,904,3,288,False,e2dd2ab8d8f58612,False,2025-05-04T10:00:00+01:00,2025-05-03T08:00:00+01:00,2025-05-04T10:00:00+01:00,4,1,,1,PROMO,18,2025,5,normal
63,Notif groupe 1 2025-05-18,normal - groupe 1,2025-05-18 08:00:00+00:00,2025-05-20 02:00:00+00:00,48.0,852,637,3,213,False,e0876ef333f3d624,False,2025-05-18T10:00:00+01:00,2025-05-17T08:00:00+01:00,2025-05-18T10:00:00+01:00,4,2,,1,NOTIF,20,2025,5,normal
64,Promo groupe 1 2025-06-01,normal - groupe 1,2025-06-01 08:00:00+00:00,2025-06-03 02:00:00+00:00,48.0,432,401,1,216,False,3769961d81b3ebaa,False,2025-06-01T10:00:00+01:00,2025-05-31T08:00:00+01:00,2025-06-01T10:00:00+01:00,4,1,,1,PROMO,22,2025,6,normal
65,Notif groupe 1 2025-06-15,saison - groupe 1,2025-06-15 08:00:00+00:00,2025-06-17 02:00:00+00:00,48.0,1552,1433,1,388,False,9b68466792d29b24,False,2025-06-15T10:00:00+01:00,2025-06-14T08:00:00+01:00,2025-06-15T10:00:00+01:00,4,2,,1,NOTIF,24,2025,6,normal
66,Promo groupe 1 2025-06-29,normal - groupe 1,2025-06-29 08:00:00+00:00,2025-07-01 02:00:00+00:00,48.0,290,220,2,145,False,34bd1ac658c97e22,False,2025-06-29T10:00:00+01:00,2025-06-28T08:00:00+01:00,2025-06-29T10:00:00+01:00,4,1,,1,PROMO,26,2025,6,normal
67,Notif groupe 1 2025-07-13,normal - groupe 1,2025-07-13 08:00:00+00:00,2025-07-15 02:00:00+00:00,48.0,542,400,2,271,False,af64470b4a363d8d,False,2025-07-13T10:00:00+01:00,2025-07-12T08:00:00+01:00,2025-07-13T10:00:00+01:00,4,2,,1,NOTIF,28,2025,7,normal
68,Promo groupe 1 2025-07-27,normal - groupe 1,2025-07-27 08:00:00+00:00,2025-07-29 02:00:00+00:00,48.0,248,174,1,124,False,7214b00c3d67449d,False,2025-07-27T10:00:00+01:00,2025-07-26T08:00:00+01:00,2025-07-27T10:00:00+01:00,4,1,,1,PROMO,30,2025,7,normal
69,Notif groupe 1 2025-08-10,normal - groupe 1,2025-08-10 08:00:00+00:00,2025-08-12 02:00:00+00:00,48.0,1016,729,4,254,False,af721f8ad767381c,False,2025-08-10T10:00:00+01:00,2025-08-09T08:00:00+01:00,2025-08-10T10:00:00+01:00,4,2,,1,NOTIF,32,2025,8,normal
70,Promo groupe 1 2025-08-24,normal - groupe 1,2025-08-24 08:00:00+00:00,2025-08-26 02:00:00+00:00,48.0,996,723,1,249,False,f110915eac182667,False,2025-08-24T10:00:00+01:00,2025-08-23T08:00:00+01:00,2025-08-24T10:00:00+01:00,4,1,,1,PROMO,34,2025,8,normal
71,Notif groupe 1 2025-09-07,saison - groupe 1,2025-09-07 08:00:00+00:00,2025-09-09 02:00:00+00:00,48.0,604,443,1,151,False,2bb038b02381dfa6,False,2025-09-07T10:00:00+01:00,2025-09-06T08:00:00+01:00,2025-09-07T10:00:00+01:00,4,2,,1,NOTIF,36,2025,9,normal
72,Promo groupe 1 2025-09-21,normal - groupe 1,2025-09-21 08:00:00+00:00,2025-09-23 02:00:00+00:00,48.0,350,307,1,175,False,cd8d3d72ec2f4ebd,False,2025-09-21T10:00:00+01:00,2025-09-20T08:00:00+01:00,2025-09-21T10:00:00+01:00,4,1,,1,PROMO,38,2025,9,normal
73,Notif groupe 1 2025-10-05,normal - groupe 1,2025-10-05 08:00:00+00:00,2025-10-07 02:00:00+00:00,48.0,243,218,2,81,False,ffab0e36e0d8fe8b,False,2025-10-05T10:00:00+01:00,2025-10-04T08:00:00+01:00,2025-10-05T10:00:00+01:00,4,2,,1,NOTIF,40,2025,10,normal
74,Promo groupe 1 2025-10-19,normal - groupe 1,2025-10-19 08:00:00+00:00,2025-10-21 02:00:00+00:00,48.0,374,328,4,187,False,a03dc4283ba10cfd,False,2025-10-19T10:00:00+01:00,2025-10-18T08:00:00+01:00,2025-10-19T10:00:00+01:00,4,1,,1,PROMO,42,2025,10,normal
75,Notif groupe 1 2025-11-02,normal - groupe 1,2025-11-02 08:00:00+00:00,2025-11-04 02:00:00+00:00,48.0,976,812,4,244,False,6b9ad5f5c2aef472,False,2025-11-02T10:00:00+01:00,2025-11-01T08:00:00+01:00,2025-11-02T10:00:00+01:00,4,2,,1,NOTIF,44,2025,11,normal
76,Promo groupe 1 2025-11-16,normal - groupe 1,2025-11-16 08:00:00+00:00,2025-11-18 02:00:00+00:00,48.0,724,685,2,181,False,1046ccdd2b8830d4,False,2025-11-16T10:00:00+01:00,2025-11-15T08:00:00+01:00,2025-11-16T10:00:00+01:00,4,1,,1,PROMO,46,2025,11,normal
77,Notif groupe 1 2025-11-30,normal - groupe 1,2025-11-30 08:00:00+00:00,2025-12-02 02:00:00+00:00,48.0,960,847,1,320,False,2ec7a72a83b6219f,False,2025-11-30T10:00:00+01:00,2025-11-29T08:00:00+01:00,2025-11-30T10:00:00+01:00,4,2,,1,NOTIF,48,2025,11,normal
78,Promo groupe 1 2025-12-14,normal - groupe 1,2025-12-14 08:00:00+00:00,2025-12-16 02:00:00+00:00,48.0,612,506,1,306,False,e8b0111a7c753ff1,False,2025-12-14T10:00:00+01:00,2025-12-13T08:00:00+01:00,2025-12-14T10:00:00+01:00,4,1,,1,PROMO,50,2025,12,normal
79,Notif groupe 1 2025-12-28,saison - groupe 1,2025-12-28 08:00:00+00:00,2025-12-30 02:00:00+00:00,48.0,646,494,2,323,False,79d3c10b736cac7f,False,2025-12-28T10:00:00+01:00,2025-12-27T08:00:00+01:00,2025-12-28T10:00:00+01:00,4,2,,1,NOTIF,52,2025,12,normal
80,Promo groupe 1 2026-01-11,normal - groupe 1,2026-01-11 08:00:00+00:00,2026-01-13 02:00:00+00:00,48.0,572,509,2,143,False,33ff8ae3a7c0036d,False,2026-01-11T10:00:00+01:00,2026-01-10T08:00:00+01:00,2026-01-11T10:00:00+01:00,4,1,,1,PROMO,2,2026,1,normal
81,Notif groupe 1 2026-01-25,normal - groupe 1,2026-01-25 08:00:00+00:00,2026-01-27 02:00:00+00:00,48.0,525,466,2,175,False,f7e4523b635014ec,False,2026-01-25T10:00:00+01:00,2026-01-24T08:00:00+01:00,2026-01-25T10:00:00+01:00,4,2,,1,NOTIF,4,2026,1,normal
82,Promo groupe 1 2026-02-08,normal - groupe 1,2026-02-08 08:00:00+00:00,2026-02-10 02:00:00+00:00,48.0,489,419,3,163,False,a331ae22868b85f7,False,2026-02-08T10:00:00+01:00,2026-02-07T08:00:00+01:00,2026-02-08T10:00:00+01:00,4,1,,1,PROMO,6,2026,2,normal
83,Notif groupe 1 2026-02-22,normal - groupe 1,2026-02-22 08:00:00+00:00,2026-02-24 02:00:00+00:00,48.0,1161,959,3,387,False,4ed1bb5dfc53e3cc,False,2026-02-22T10:00:00+01:00,2026-02-21T08:00:00+01:00,2026-02-22T10:00:00+01:00,4,2,,1,NOTIF,8,2026,2,normal
84,Promo groupe 1 2026-03-08,normal - groupe 1,2026-03-08 08:00:00+00:00,2026-03-10 02:00:00+00:00,48.0,573,437,3,191,False,e363db98becc1560,False,2026-03-08T10:00:00+01:00,2026-03-07T08:00:00+01:00,2026-03-08T10:00:00+01:00,4,1,,1,PROMO,10,2026,3,normal
